system,mapping_type,original_name,generic_id
ATS,object,CommandHandlerPort,3286
ATS,object,CommandHandlerSkeleton,3213
ATS,object,CommandLevels,2701
ATS,object,CommandMap,844
ATS,object,CommandParameter,841
ATS,object,CommandSource,843
ATS,object,CommandType,2700
ATS,object,CommandUpdateStatus,795
ATS,object,CommonMessage,2366
ATS,object,CommonMessagePort,2367
ATS,object,CompatCol,4223
ATS,object,CompatibilityRecord,3970
ATS,object,CompatibilityRecordBase,3969
ATS,object,ConfigGWPosition,1743
ATS,object,ConfigGWPositionReflector,2657
ATS,object,ConfigIntegerManager,217
ATS,object,ConfigIntegerRegister,349
ATS,object,ConfigString,2640
ATS,object,ConfigTestObject,3037
ATS,object,ConfigTestObject2,3933
ATS,object,ConfigTestObject3,3934
ATS,object,ConfigTestObjectAnon,3935
ATS,object,ConfigTestObjectExtOnly,4921
ATS,object,ConfigurationDesignator,231
ATS,object,ConfigurationManager,2416
ATS,object,ConfigureAdapter,2447
ATS,object,ConfigurePrintManCmd,20
ATS,object,ConfiguredBitFlags,767
ATS,object,ConfiguredBitSet,3051
ATS,object,ConfirmACBPrepResetCmd,5236
ATS,object,ConfirmCancelRoutingDlg,4889
ATS,object,ConfirmMDZZoneCmd,5000
ATS,object,ConfirmOpenCloseTrackSecureCmd,5001
ATS,object,ConfirmSetClearBlockingCmd,5002
ATS,object,ConfirmTSRZoneCmd,5003
ATS,object,ConflictArea,404
ATS,object,ConflictMonitors,2703
ATS,object,ConnectionLimitTracker,2385
ATS,object,ConnectionMessage,834
ATS,object,ConsistIDCol,986
ATS,object,ConsistListCol,988
ATS,object,Continent,4952
ATS,object,ControlBar,933
ATS,object,Controller,1554
ATS,object,ControllerSubMode,2781
ATS,object,CoorArrDeptStatus,5119
ATS,object,CoorArrDeptStatus::CoorArrDeptState,5083
ATS,object,CoorArrDeptStatusBase,5127
ATS,object,CoordArrDepScorer,3337
ATS,object,CoordArrDepScorerMediary,4257
ATS,object,CoordArrDepScorerPort,3383
ATS,object,CoordArrDepScorerSkeleton,3336
ATS,object,CoordArrDeptAdjustCol,5086
ATS,object,CoordArrDeptStateCol,5084
ATS,object,CoordArrDeptTrainCol,5085
